Name,Team,Season,Age,W,L,IP,WAR,ERA,xERA,FIP,xFIP,AVG,WHIP,BABIP,K%,BB%,LOB%,LD%,GB%,FB%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,Barrel%,K/9,BB/9,K/BB,HR/9,GB/FB,HR/FB,EV,LA,,FA% (sc),FT% (sc),FC% (sc),FS% (sc),FO% (sc),SI% (sc),SL% (sc),CU% (sc),KC% (sc),EP% (sc),CH% (sc),SC% (sc),KN% (sc),UN% (sc),vFA (sc),vFT (sc),vFC (sc),vFS (sc),vFO (sc),vSI (sc),vSL (sc),vCU (sc),vKC (sc),vEP (sc),vCH (sc),vSC (sc),vKN (sc),FA-X (sc),FT-X (sc),FC-X (sc),FS-X (sc),FO-X (sc),SI-X (sc),SL-X (sc),CU-X (sc),KC-X (sc),EP-X (sc),CH-X (sc),SC-X (sc),KN-X (sc),FA-Z (sc),FT-Z (sc),FC-Z (sc),FS-Z (sc),FO-Z (sc),SI-Z (sc),SL-Z (sc),CU-Z (sc),KC-Z (sc),EP-Z (sc),CH-Z (sc),SC-Z (sc),KN-Z (sc),wFA (sc),wFT (sc),wFC (sc),wFS (sc),wFO (sc),wSI (sc),wSL (sc),wCU (sc),wKC (sc),wEP (sc),wCH (sc),wSC (sc),wKN (sc)
Alex Faedo,DET,2024,28,5,3,57.1,-0.5,3.61,4.28,4.91,4.43,0.228,1.34,0.265,22%,11%,83%,24%,39%,38%,41%,32%,28%,14%,56%,31%,6%,8.6,4.4,2,1.4,1,0.2,88.3,14.8,,35%,,,,,5%,0.39622642,,,,20%,,,,94.0,,,,,93.5,83.2,,,,89.1,,,-5.18,,,,,-9.08,1.16,,,,-9.86,,,9.73,,,,,5.89,-0.63,,,,1.51,,,-2.04,,,,,-2.17,3.56,,,,-1.72,,
Zack Kelly,BOS,2024,29,6,3,56.2,-0.3,3.97,4.28,4.84,3.94,0.208,1.25,0.241,25%,11%,71%,18%,47%,35%,42%,37%,21%,16%,58%,26%,10%,9.7,4.3,2.3,1.6,1.4,0.2,87.2,12,,30%,,22%,,,,0.27168234,,,,21%,,,,96.5,,91.1,,,,82.2,,,,83.6,,,-6.49,,0.23,,,,8.98,,,,-11.10,,,8.75,,4.01,,,,1.44,,,,0.31,,,-3.73,,-0.49,,,,5.39,,,,-0.60,,
Ryan Feltner,COL,2024,27,3,10,162.1,2.4,4.49,4.28,4.16,4.17,0.261,1.34,0.305,20%,8%,66%,20%,45%,35%,39%,38%,23%,16%,52%,33%,6%,7.7,2.9,2.7,1.1,1.3,0.1,88.1,11.9,,37%,,,,,13%,0.25427683,10%,,,15%,,,,94.6,,,,,94.2,87.4,79.2,,,85.2,,,-3.42,,,,,-7.90,2.73,5.02,,,-3.44,,,7.63,,,,,5.01,2.52,-4.75,,,2.95,,,6.00,,,,,-1.49,-5.67,3.32,,,-3.87,,
Luis L. Ortiz,PIT,2024,25,7,6,135.2,1,3.32,4.28,4.25,4.59,0.216,1.11,0.243,19%,8%,76%,18%,40%,42%,42%,33%,25%,17%,55%,29%,9%,7.1,2.8,2.5,1.1,0.9,0.1,89,13.9,,27%,,20%,,,26%,0.26831545,,,,1%,,,,95.9,,91.0,,,94.9,85.8,,,,90.6,,,-7.07,,-0.30,,,-9.51,3.14,,,,-9.58,,,6.44,,4.13,,,1.93,1.27,,,,2.89,,,5.83,,3.01,,,6.21,-2.33,,,,0.04,,
Kyle Finnegan,WSN,2024,32,3,8,63.2,0,3.68,4.31,4.25,3.81,0.247,1.34,0.292,22%,9%,75%,22%,46%,32%,36%,35%,29%,14%,49%,37%,7%,8.5,3.4,2.5,1.3,1.4,0.2,91.3,10.6,,68%,,,27%,,,0.05529522,,,,,,,,97.2,,,88.5,,,85.4,,,,,,,-6.38,,,-5.29,,,1.03,,,,,,,9.25,,,3.13,,,1.04,,,,,,,-0.76,,,2.42,,,0.73,,,,,,
Zack Littell,TBR,2024,28,8,10,156.1,2.3,3.63,4.31,3.88,4.01,0.265,1.25,0.311,21%,5%,78%,24%,34%,42%,41%,37%,22%,14%,57%,29%,10%,8.1,1.8,4.5,1.3,0.8,0.1,89.3,18.1,,22%,,,23%,,15%,0.39919517,,,,,,,,92.4,,,83.0,,91.6,85.7,,,,,,,-4.18,,,-5.16,,-8.68,1.97,,,,,,,9.83,,,1.21,,7.95,3.49,,,,,,,3.19,,,-4.84,,-2.20,4.48,,,,,,
Génesis Cabrera,TOR,2024,27,3,3,62.2,-0.5,3.59,4.31,5.13,4.74,0.263,1.47,0.294,18%,11%,79%,20%,43%,37%,47%,31%,22%,17%,49%,33%,7%,7.2,4.2,1.7,1.4,1.1,0.1,89.8,14.1,,18%,,39%,,,23%,,12%,,,8%,,,,95.9,,89.2,,,96.0,,78.9,,,88.2,,,6.00,,0.77,,,9.38,,-3.49,,,8.16,,,10.20,,3.11,,,7.67,,-2.22,,,7.23,,,-9.60,,5.95,,,-4.50,,1.75,,,1.17,,
Mitch Keller,PIT,2024,28,11,12,178,2.2,4.25,4.31,4.08,4.08,0.257,1.3,0.306,21%,6%,73%,24%,39%,37%,38%,34%,29%,14%,53%,33%,7%,8.4,2.5,3.3,1.2,1.1,0.1,88.8,12.4,,30%,,12%,,,22%,0.25008769,10%,,,1%,,,,94.4,,90.4,,,93.4,84.7,78.4,,,89.8,,,-5.82,,1.07,,,-9.14,6.50,7.21,,,-9.57,,,8.33,,4.44,,,5.05,0.29,-7.37,,,2.66,,,2.61,,-3.49,,,-1.63,-7.39,-0.30,,,-2.75,,
Garrett Cleavinger,TBR,2024,30,7,5,60,0.2,3.75,4.31,4,4.29,0.228,1.38,0.305,27%,12%,75%,19%,41%,41%,40%,38%,22%,18%,50%,31%,10%,10.7,4.7,2.3,0.9,1,0.1,86.9,12.5,,25%,,26%,,,9%,0.39413989,,,,,,,,96.4,,90.7,,,95.9,84.5,,,,,,,4.62,,-1.46,,,9.68,-6.09,,,,,,,9.57,,3.92,,,6.21,-0.82,,,,,,,3.48,,-0.33,,,-2.92,0.94,,,,,,
Jake Irvin,WSN,2024,27,10,14,187.2,1.8,4.41,4.31,4.41,4.03,0.243,1.2,0.273,20%,7%,70%,19%,44%,37%,42%,34%,24%,18%,48%,33%,9%,7.5,2.5,3,1.4,1.2,0.1,88.8,11.4,,38%,,7%,,,20%,0.00295469,31%,,,4%,,,,93.9,,89.9,,,93.3,85.9,81.1,,,88.4,,,-6.42,,-1.00,,,-10.08,2.65,6.17,,,-9.74,,,8.26,,4.37,,,4.02,1.45,-1.68,,,2.93,,,5.03,,0.11,,,-4.02,-1.29,2.33,,,1.45,,
Cooper Criswell,BOS,2024,27,6,5,99.1,1.1,4.08,4.31,4.15,4.43,0.267,1.35,0.307,17%,7%,70%,16%,50%,33%,49%,31%,21%,15%,49%,36%,7%,6.6,2.8,2.4,0.9,1.5,0.1,89.3,9.7,,,,15%,,,30%,0.28758542,,,,26%,,,,,,86.4,,,89.1,77.1,,,,84.4,,,,,-0.61,,,-9.97,9.39,,,,-8.30,,,,,4.28,,,0.25,2.47,,,,-2.86,,,,,1.74,,,2.51,-9.68,,,,2.54,,
Mitchell Parker,WSN,2024,24,7,10,151,2.4,4.29,4.31,3.85,4.17,0.256,1.3,0.302,21%,7%,67%,21%,38%,41%,44%,31%,25%,13%,55%,32%,8%,7.9,2.6,3.1,1.1,0.9,0.1,89.6,15.3,,49%,,,19%,,,0.09816972,23%,,,,,,,92.5,,,85.6,,,84.5,80.5,,,,,,3.48,,,4.42,,,-2.49,-0.84,,,,,,10.27,,,5.06,,,2.09,-4.44,,,,,,0.85,,,-2.73,,,-1.72,2.55,,,,,
Michael Tonkin,MIN,2024,34,4,4,79.1,0.6,3.63,4.34,3.44,3.89,0.232,1.26,0.303,25%,9%,65%,24%,41%,35%,44%,40%,16%,17%,55%,28%,7%,9.6,3.4,2.8,0.7,1.2,0.1,88,12.5,,38%,,,,,17%,0.45070423,,,,,,,,93.2,,,,,92.5,83.2,,,,,,,-8.93,,,,,-11.76,1.58,,,,,,,6.44,,,,,1.82,-0.94,,,,,,,2.26,,,,,2.54,-2.21,,,,,,
José Ureña,TEX,2024,32,5,8,109,0.1,3.8,4.34,4.62,4.61,0.25,1.32,0.273,15%,8%,75%,18%,50%,32%,41%,35%,24%,15%,56%,30%,8%,5.8,3.2,1.8,1.1,1.6,0.1,89,9.8,,6%,,,,,41%,0.34147727,,,,19%,,,,96.4,,,,,96.0,87.0,,,,88.7,,,-8.20,,,,,-10.35,-2.43,,,,-9.59,,,7.54,,,,,4.97,5.09,,,,5.31,,,-2.96,,,,,5.29,-1.13,,,,-2.17,,
Héctor Neris,HOU,2024,35,10,5,59.1,0,4.1,4.34,4.28,4.23,0.239,1.4,0.297,25%,11%,73%,18%,40%,42%,46%,33%,21%,18%,53%,29%,9%,9.7,4.2,2.3,1.2,1,0.1,88.6,14.8,,46%,,,40%,,10%,0.03472222,,,,,,,,93.0,,,82.7,,92.8,85.6,,,,,,,-5.84,,,-5.47,,-9.20,0.86,,,,,,,9.86,,,0.30,,7.76,3.48,,,,,,,2.96,,,-3.72,,0.53,-2.65,,,,,,
Joe Musgrove,SDP,2024,31,6,5,99.2,1.4,3.88,4.34,3.96,3.74,0.249,1.17,0.305,25%,6%,77%,20%,41%,38%,43%,36%,21%,11%,55%,34%,11%,9.1,2.1,4.4,1.3,1.1,0.1,90.3,13.8,,25%,,20%,,,4%,0.20290771,23%,,,8%,,,,93.0,,89.7,,,92.6,82.2,81.6,,,87.1,,,-2.48,,1.27,,,-5.95,8.93,6.13,,,-7.59,,,7.36,,4.39,,,3.65,-1.81,-8.45,,,2.39,,,-2.86,,4.36,,,0.31,3.37,-0.35,,,-3.85,,
James McArthur,KCR,2024,27,5,7,56.2,0.1,4.92,4.34,4.17,3.62,0.296,1.45,0.347,20%,6%,66%,20%,53%,27%,45%,38%,17%,14%,53%,33%,8%,7.8,2.2,3.5,1.3,2,0.2,90.2,7.1,,9%,,,,,36%,0.21531632,34%,,,,,,,94.7,,,,,95.1,87.7,83.7,,,,,,-6.40,,,,,-10.44,-0.17,7.14,,,,,,7.78,,,,,4.51,1.57,-6.02,,,,,,0.59,,,,,0.72,-2.56,-3.31,,,,,
Josh Winckowski,BOS,2024,26,4,2,76,0.2,4.14,4.34,4.48,4.14,0.265,1.41,0.301,18%,8%,69%,20%,51%,29%,40%,37%,23%,16%,52%,32%,6%,7.1,3.1,2.3,1.2,1.8,0.1,88.5,7.1,,5%,,35%,,,34%,0.13306452,,,,13%,,,,95.1,,90.4,,,95.1,85.2,,,,91.5,,,-3.68,,1.65,,,-9.50,3.96,,,,-10.23,,,8.41,,2.30,,,5.44,0.40,,,,2.78,,,0.30,,-0.93,,,-0.65,0.81,,,,-3.74,,
Tyler Anderson,LAA,2024,34,10,15,179.1,1.6,3.81,4.37,4.66,4.85,0.231,1.29,0.258,19%,10%,76%,20%,37%,42%,51%,30%,19%,16%,58%,27%,8%,7.1,3.7,1.9,1.2,0.9,0.1,87.2,17.6,,40%,,19%,,,3%,0.01304049,0%,,,37%,,,,89.4,,84.3,,,88.1,81.3,71.6,,,78.9,,,2.78,,-1.51,,,10.67,-1.48,-0.27,,,7.45,,,11.54,,6.76,,,5.10,2.72,-6.26,,,7.45,,,-8.44,,-2.22,,,-3.75,-0.02,-0.09,,,14.29,,
Jonathan Cannon,CHW,2024,23,5,10,124.1,1.1,4.49,4.37,4.65,4.62,0.262,1.33,0.29,17%,8%,72%,22%,38%,40%,39%,39%,22%,17%,54%,29%,7%,6.6,2.9,2.3,1.3,1,0.1,89,14.6,,12%,,19%,,,28%,0.21794872,,,,19%,,,,94.3,,90.2,,,93.3,81.9,,,,85.7,,,-5.87,,-1.70,,,-9.51,6.27,,,,-8.57,,,8.02,,4.72,,,3.01,1.55,,,,0.60,,,-2.82,,1.53,,,2.50,-6.13,,,,-0.84,,
Kenta Maeda,DET,2024,36,3,7,112.1,0,6.09,4.4,4.96,4.51,0.276,1.38,0.308,20%,6%,62%,20%,36%,44%,47%,34%,19%,18%,55%,27%,8%,7.7,2.5,3.1,1.8,0.8,0.1,88.4,17.1,,22%,,2%,31%,,7%,0.35940695,2%,,,,,,,90.8,,84.8,83.9,,90.4,81.4,76.4,,,,,,-4.76,,-2.17,-6.34,,-9.15,3.65,5.95,,,,,,8.96,,6.68,-0.15,,5.63,1.83,-7.91,,,,,,-11.44,,0.35,-1.36,,-0.03,-2.38,-1.35,,,,,
Nate Pearson,CHC,2024,27,2,2,66.1,0.1,4.48,4.4,4.37,3.71,0.257,1.33,0.314,26%,7%,77%,23%,37%,40%,42%,36%,21%,13%,47%,40%,10%,10,2.8,3.5,1.6,0.9,0.2,90.9,16.8,,46%,,0%,0%,,2%,0.40581068,12%,,,,,,,97.7,,91.3,88.3,,97.3,87.9,80.9,,,,,,-4.73,,2.11,-2.91,,-8.66,2.99,6.43,,,,,,9.60,,5.07,5.44,,6.59,0.45,-6.93,,,,,,-6.58,,0.10,0.16,,-1.98,3.52,-0.24,,,,,
Nick Sandlin,CLE,2024,27,8,0,57.2,-0.7,3.75,4.4,5.23,4.26,0.216,1.27,0.256,28%,11%,80%,16%,38%,47%,46%,36%,19%,16%,48%,37%,11%,10.6,4.2,2.5,1.9,0.8,0.2,91.3,18.3,,30%,,,27%,,9%,0.34795613,,,,,,,,92.6,,,84.8,,92.6,79.4,,,,,,,-8.02,,,-8.04,,-10.47,5.84,,,,,,,6.60,,,-1.07,,1.74,2.92,,,,,,,-4.67,,,7.85,,-2.82,-1.20,,,,,,
Charlie Morton,ATL,2024,40,8,10,165.1,1.1,4.19,4.43,4.46,3.99,0.249,1.32,0.306,24%,9%,74%,21%,46%,33%,44%,33%,24%,14%,53%,33%,9%,9.1,3.5,2.6,1.3,1.4,0.2,88.7,9,,29%,,8%,,,10%,,42%,,,11%,,,,94.1,,88.5,,,93.5,,81.5,,,85.0,,,-8.55,,-0.70,,,-10.57,,6.96,,,-10.48,,,6.08,,3.33,,,2.18,,-5.01,,,0.19,,,-11.31,,-1.65,,,1.09,,9.23,,,-4.23,,
Angel Zerpa,KCR,2024,24,2,0,53.2,0.2,3.86,4.43,3.97,3.7,0.271,1.45,0.325,21%,8%,78%,16%,58%,25%,27%,39%,34%,17%,56%,28%,7%,8.2,3.2,2.6,1,2.3,0.1,90.3,2.8,,20%,,,,,43%,0.25887265,0%,,,10%,,,,95.8,,,,,96.5,86.2,82.2,,,88.6,,,6.16,,,,,10.06,-2.20,-6.14,,,8.22,,,6.87,,,,,2.62,-0.93,-6.61,,,4.23,,,-1.11,,,,,-0.15,1.26,-0.11,,,-4.36,,
JP Sears,OAK,2024,28,11,13,180.2,1.2,4.38,4.43,4.71,4.86,0.247,1.22,0.272,18%,6%,73%,16%,37%,47%,41%,34%,24%,17%,50%,32%,10%,6.8,2.4,2.8,1.4,0.8,0.1,89.3,18.1,,36%,,,,,11%,0.33858543,,,,19%,,,,91.9,,,,,90.0,78.9,,,,84.0,,,7.05,,,,,9.59,-5.98,,,,9.75,,,8.28,,,,,3.44,2.47,,,,1.18,,,-8.32,,,,,4.14,-0.95,,,,-1.16,,
Chris Bassitt,TOR,2024,35,10,14,171,2.2,4.16,4.46,4.08,4.28,0.268,1.46,0.333,22%,9%,73%,24%,40%,35%,37%,37%,27%,18%,49%,33%,8%,8.8,3.7,2.4,0.9,1.1,0.1,87.8,14.3,,4%,,20%,4%,,41%,0.11794525,14%,,,5%,,,,92.6,,89.6,84.1,,92.5,77.2,71.0,,,84.5,,,-4.86,,-0.51,-8.01,,-9.96,6.94,8.34,,,-10.26,,,7.34,,5.11,0.21,,4.78,-0.60,-7.54,,,4.28,,,-2.13,,2.58,-3.35,,-0.91,-3.07,-0.35,,,-3.60,,
Brayan Bello,BOS,2024,25,14,8,162.1,2,4.49,4.46,4.19,3.87,0.25,1.36,0.303,22%,9%,72%,22%,51%,27%,38%,40%,22%,15%,54%,31%,7%,8.5,3.5,2.4,1.1,1.9,0.1,88.5,6.2,,5%,,,,,40%,0.2804428,,,,27%,,,,95.6,,,,,95.7,86.8,,,,87.6,,,-5.65,,,,,-10.39,3.79,,,,-9.74,,,7.03,,,,,2.38,-0.32,,,,2.01,,,0.32,,,,,-2.60,-4.44,,,,1.10,,
Jose Quintana,NYM,2024,35,10,10,170.1,1,3.75,4.49,4.56,4.44,0.233,1.25,0.263,19%,9%,78%,18%,47%,35%,41%,37%,22%,17%,48%,34%,7%,7.1,3.3,2.1,1.2,1.4,0.1,88,10.7,,23%,,,,,30%,,28%,,,19%,,,,90.7,,,,,90.8,,77.7,,,85.7,,,3.02,,,,,8.62,,-3.66,,,8.75,,,9.25,,,,,7.61,,-3.72,,,2.88,,,-2.00,,,,,7.00,,-0.35,,,2.72,,
Andrew Heaney,TEX,2024,33,5,14,160,2.2,4.28,4.49,4.04,4.18,0.248,1.25,0.297,23%,6%,71%,22%,34%,44%,41%,35%,25%,15%,55%,31%,8%,8.9,2.3,3.9,1.3,0.8,0.1,89.6,18.2,,50%,,0%,,,1%,0.27828634,4%,,,17%,,,,91.5,,86.6,,,92.2,82.5,75.6,,,83.7,,,9.97,,4.12,,,11.27,-0.29,-4.37,,,10.73,,,7.82,,2.91,,,4.47,0.70,-4.00,,,3.18,,,2.09,,-0.57,,,-1.72,-1.98,-3.28,,,2.12,,
Dean Kremer,BAL,2024,28,8,10,129.2,1.4,4.1,4.49,4.32,4.34,0.22,1.24,0.257,22%,9%,66%,16%,42%,42%,39%,36%,25%,23%,48%,28%,10%,8.5,3.5,2.4,1.2,1,0.1,87.4,15.1,,32%,,23%,18%,,15%,,11%,,,,,,,93.4,,86.9,84.1,,92.3,,77.0,,,,,,-5.04,,2.48,-5.57,,-8.98,,4.42,,,,,,10.41,,3.47,4.75,,7.33,,-8.13,,,,,,-1.22,,1.66,2.93,,2.20,,0.72,,,,,
Slade Cecconi,ARI,2024,25,2,7,77,0.2,6.66,4.49,5.02,4.7,0.29,1.42,0.321,19%,5%,62%,18%,34%,48%,36%,34%,30%,16%,51%,33%,10%,7.5,2,3.8,1.9,0.7,0.1,89,17.9,,55%,,0%,,,,0.24034003,9%,,,12%,,,,94.4,,90.4,,,,85.1,75.4,,,81.8,,,-8.60,,-0.50,,,,1.10,5.64,,,-9.16,,,8.55,,4.76,,,,0.37,-6.97,,,3.91,,,-10.33,,0.04,,,,-3.85,-1.65,,,-0.90,,
Pedro Avila,CLE,2024,27,6,1,82.2,0.2,3.81,4.52,3.89,4.02,0.233,1.32,0.291,23%,10%,74%,22%,45%,33%,36%,38%,26%,11%,57%,32%,5%,8.9,3.9,2.3,0.9,1.4,0.1,89.6,9.6,,39%,,,,,12%,0.10500352,16%,,,22%,,,,93.4,,,,,93.0,81.2,77.6,,,83.4,,,-1.97,,,,,-7.25,5.31,4.90,,,-1.36,,,7.66,,,,,6.17,-3.00,-8.70,,,2.11,,,-0.09,,,,,-0.71,-2.88,1.29,,,5.55,,
Mike Baumann,MIA,2024,28,3,1,58.1,-0.4,5.55,4.52,4.83,4.69,0.254,1.49,0.303,22%,11%,65%,19%,39%,42%,36%,35%,29%,11%,55%,33%,9%,8.9,4.3,2.1,1.4,0.9,0.1,91.1,14.5,,41%,,,,,0%,0.23782772,,33%,,2%,,,,96.5,,,,,95.7,92.1,,87.8,,89.1,,,-5.21,,,,,-4.12,0.70,,0.13,,-9.90,,,10.59,,,,,9.03,5.02,,-3.87,,7.10,,,-6.51,,,,,-1.59,0.27,,-2.45,,0.04,,
Burch Smith,BAL,2024,34,4,1,56.1,0.3,4.95,4.55,3.66,4.02,0.282,1.35,0.331,19%,5%,63%,20%,44%,37%,43%,29%,28%,14%,50%,35%,9%,7.3,1.9,3.8,1,1.2,0.1,90.7,12.9,,50%,,21%,,,0%,0.09263393,18%,,,1%,,,,94.9,,87.6,,,92.8,83.5,80.0,,,85.3,,,-3.08,,2.00,,,-7.48,6.96,5.75,,,-5.91,,,10.00,,2.58,,,6.85,0.96,-7.88,,,7.12,,,4.25,,-3.83,,,0.29,-0.81,-1.81,,,0.09,,
Paul Blackburn,NYM,2024,30,5,4,75.1,0.4,4.66,4.55,4.63,4.14,0.26,1.29,0.29,19%,7%,71%,20%,46%,34%,44%,36%,19%,17%,59%,24%,8%,7,2.5,2.8,1.4,1.3,0.2,87.6,11,,19%,,22%,,,14%,0.16666667,10%,,,18%,,,,91.9,,89.1,,,91.2,81.3,79.4,,,85.7,,,-3.56,,2.05,,,-7.56,7.61,3.45,,,-6.88,,,9.76,,4.22,,,5.99,-2.26,-9.21,,,3.96,,,-5.42,,-0.50,,,-6.66,2.74,2.53,,,3.41,,
Peter Lambert,COL,2024,27,2,5,61.1,0.2,5.72,4.55,4.54,4.68,0.293,1.66,0.344,18%,10%,66%,30%,37%,34%,44%,27%,29%,15%,55%,31%,6%,7.3,4.3,1.7,1,1.1,0.1,88.1,16.1,,38%,,1%,,,2%,0.18768046,14%,,,25%,,,,94.5,,90.0,,,93.9,86.9,80.4,,,87.0,,,-4.39,,1.08,,,-7.51,1.76,6.42,,,-7.12,,,9.51,,3.48,,,6.12,0.65,-5.04,,,3.93,,,-3.35,,-0.46,,,-0.19,-1.70,-5.70,,,-0.12,,
Tyler Kinley,COL,2024,33,6,1,64,-0.1,6.19,4.55,4.79,4.23,0.244,1.47,0.299,25%,12%,65%,22%,38%,40%,49%,35%,16%,18%,49%,33%,9%,10.1,4.6,2.2,1.5,0.9,0.2,87.5,15.5,,34%,,,,,0%,0.62700422,,,,4%,,,,95.9,,,,,93.9,89.5,,,,87.2,,,-2.88,,,,,-7.23,-0.37,,,,-6.09,,,8.88,,,,,10.30,3.51,,,,6.60,,,-8.13,,,,,-0.06,0.71,,,,0.24,,
Michael Soroka,CHW,2024,26,0,10,79.2,0.4,4.74,4.55,4.95,4.54,0.22,1.38,0.261,24%,13%,68%,17%,40%,43%,47%,26%,27%,18%,53%,29%,10%,9.5,5,1.9,1.5,0.9,0.1,87.6,15.8,,32%,,,,,21%,0.36571825,,,,10%,,,,93.5,,,,,92.3,81.9,,,,82.1,,,-5.63,,,,,-10.20,2.15,,,,-10.97,,,9.47,,,,,5.37,-2.02,,,,4.96,,,1.33,,,,,-4.07,2.04,,,,-4.92,,
Jesús Luzardo,MIA,2024,26,3,6,66.2,0.7,5,4.55,4.26,4.23,0.244,1.25,0.284,21%,8%,66%,23%,37%,40%,44%,26%,30%,12%,60%,28%,10%,7.8,3,2.6,1.2,0.9,0.1,90.4,16.5,,39%,,,,,8%,0.29178209,0%,,,23%,,,,95.2,,,,,94.6,83.5,81.6,,,86.3,,,8.31,,,,,10.44,0.88,-0.73,,,9.73,,,9.08,,,,,7.16,1.48,-1.52,,,5.44,,,-2.72,,,,,-0.69,0.43,-0.07,,,3.91,,
Joey Estes,OAK,2024,22,7,9,127.2,0.7,5.01,4.55,4.94,5.29,0.257,1.23,0.274,17%,5%,70%,20%,25%,55%,41%,33%,26%,17%,53%,30%,10%,6.5,1.9,3.4,1.6,0.4,0.1,89.5,25.4,,52%,,1%,,,3%,0.33152442,,,,11%,,,,92.4,,86.4,,,90.8,79.6,,,,84.8,,,-6.12,,1.50,,,-9.50,5.86,,,,-8.79,,,9.60,,4.07,,,7.30,2.11,,,,5.14,,,0.82,,-1.93,,,-1.06,-1.37,,,,-5.54,,
Michael Lorenzen,KCR,2024,32,7,6,130.1,0.7,3.31,4.58,4.89,4.95,0.215,1.24,0.236,18%,11%,82%,18%,42%,40%,39%,36%,25%,19%,49%,32%,8%,6.7,4.1,1.6,1.2,1,0.1,88.5,15.1,,27%,,10%,,,21%,0.14942529,8%,,,19%,,,,93.8,,90.1,,,93.6,83.9,81.7,,,84.6,,,-6.53,,-0.47,,,-9.65,3.74,1.84,,,-9.31,,,9.10,,4.67,,,5.91,-0.51,-7.61,,,5.51,,,5.66,,0.08,,,-1.09,-4.72,0.03,,,7.64,,
David Peterson,NYM,2024,28,10,3,121,1.9,2.9,4.58,3.67,4.1,0.241,1.29,0.293,20%,9%,78%,21%,50%,29%,36%,39%,25%,14%,56%,31%,7%,7.5,3.4,2.2,0.6,1.7,0.1,89.3,7.2,,27%,,,,,31%,0.18439337,8%,,,16%,,,,93.1,,,,,91.9,85.1,79.1,,,84.7,,,4.48,,,,,9.07,-0.60,-2.81,,,8.86,,,7.79,,,,,4.27,0.16,-4.93,,,2.45,,,1.92,,,,,10.60,-6.23,0.16,,,0.08,,
Miles Mikolas,STL,2024,35,10,11,171.2,2,5.35,4.61,4.24,4.08,0.281,1.28,0.31,17%,3%,63%,22%,42%,36%,41%,35%,24%,15%,52%,33%,8%,6.4,1.3,4.9,1.4,1.2,0.1,88.8,13.6,,28%,,,,,23%,0.2831793,12%,1%,,9%,,,,93.2,,,,,92.4,85.7,76.6,69.6,,85.6,,,-4.35,,,,,-8.75,1.73,3.76,2.36,,-8.83,,,8.15,,,,,5.80,1.80,-7.96,-7.19,,4.13,,,1.70,,,,,8.89,-9.10,-6.17,0.59,,-9.70,,
Carlos Carrasco,CLE,2024,37,3,10,103.2,0.1,5.64,4.65,4.93,4.18,0.274,1.4,0.309,20%,7%,66%,18%,47%,35%,43%,38%,18%,14%,54%,32%,8%,7.7,2.9,2.7,1.6,1.3,0.2,89.3,10.8,,26%,,,,,17%,0.2776137,7%,,,23%,,,,91.6,,,,,91.1,83.5,80.4,,,86.8,,,-2.28,,,,,-8.12,2.49,5.98,,,-4.29,,,6.32,,,,,3.57,0.43,-4.44,,,1.65,,,-3.72,,,,,-5.48,-4.53,1.70,,,-4.23,,
Chase Anderson,TEX,2024,36,0,2,58.1,-0.5,5.4,4.65,5.69,5.53,0.239,1.3,0.244,16%,8%,62%,17%,32%,52%,39%,37%,24%,20%,52%,29%,9%,6.5,3.2,2,1.9,0.6,0.1,86.5,20,,15%,,34%,,,2%,0.1515748,4%,,,30%,,,,93.6,,88.8,,,92.7,80.5,78.9,,,83.9,,,-4.65,,1.51,,,-8.65,8.27,4.52,,,-10.54,,,8.96,,4.19,,,8.19,-1.55,-9.27,,,6.96,,,-5.74,,-4.08,,,0.57,0.74,0.55,,,2.91,,
Brady Singer,KCR,2024,27,9,13,179.2,2.5,3.71,4.65,3.93,3.62,0.251,1.27,0.302,22%,7%,78%,24%,47%,29%,42%,39%,19%,16%,52%,33%,8%,8.5,2.7,3.1,1.1,1.6,0.1,88.9,8.8,,11%,,,,,41%,0.45500506,,,,2%,,,,91.6,,,,,92.2,82.9,,,,88.1,,,-3.75,,,,,-8.57,2.41,,,,-8.68,,,7.53,,,,,5.58,-0.23,,,,3.49,,,-7.01,,,,,9.48,-0.05,,,,-3.20,,
Jon Gray,TEX,2024,32,5,6,102.2,1.8,4.47,4.68,3.7,4.24,0.26,1.31,0.306,20%,6%,68%,19%,40%,41%,41%,36%,23%,14%,49%,37%,9%,7.5,2.5,3.1,1,1,0.1,90.5,15.3,,44%,,,,,,0.43888889,5%,,,7%,,,,94.9,,,,,,88.6,78.9,,,88.7,,,-6.41,,,,,,0.44,3.77,,,-8.57,,,7.85,,,,,,3.39,-2.99,,,4.16,,,-5.11,,,,,,5.48,-0.52,,,-1.60,,
Walker Buehler,LAD,2024,29,1,6,75.1,-0.2,5.38,4.68,5.54,4.49,0.286,1.55,0.316,19%,8%,70%,19%,45%,35%,43%,36%,21%,14%,52%,33%,7%,7.6,3.3,2.3,1.9,1.3,0.2,88.3,10.8,,29%,,21%,,,16%,0.09505988,,19%,,5%,,,,95.0,,91.2,,,94.8,82.9,,78.0,,90.0,,,-2.81,,2.15,,,-8.21,7.46,,5.84,,-7.68,,,9.62,,5.42,,,6.48,0.88,,-8.42,,4.19,,,-9.44,,4.51,,,-1.60,-1.11,,-3.99,,-4.07,,
