Name,Team,Season,Age,W,L,IP,WAR,ERA,xERA,FIP,xFIP,AVG,WHIP,BABIP,K%,BB%,LOB%,LD%,GB%,FB%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,Barrel%,K/9,BB/9,K/BB,HR/9,GB/FB,HR/FB,EV,LA,,FA% (sc),FT% (sc),FC% (sc),FS% (sc),FO% (sc),SI% (sc),SL% (sc),CU% (sc),KC% (sc),EP% (sc),CH% (sc),SC% (sc),KN% (sc),UN% (sc),vFA (sc),vFT (sc),vFC (sc),vFS (sc),vFO (sc),vSI (sc),vSL (sc),vCU (sc),vKC (sc),vEP (sc),vCH (sc),vSC (sc),vKN (sc),FA-X (sc),FT-X (sc),FC-X (sc),FS-X (sc),FO-X (sc),SI-X (sc),SL-X (sc),CU-X (sc),KC-X (sc),EP-X (sc),CH-X (sc),SC-X (sc),KN-X (sc),FA-Z (sc),FT-Z (sc),FC-Z (sc),FS-Z (sc),FO-Z (sc),SI-Z (sc),SL-Z (sc),CU-Z (sc),KC-Z (sc),EP-Z (sc),CH-Z (sc),SC-Z (sc),KN-Z (sc),wFA (sc),wFT (sc),wFC (sc),wFS (sc),wFO (sc),wSI (sc),wSL (sc),wCU (sc),wKC (sc),wEP (sc),wCH (sc),wSC (sc),wKN (sc)
Matthew Liberatore,STL,2024,24,3,4,86,0.4,4.4,4.11,4.11,4.17,0.247,1.27,0.29,21%,8%,70%,18%,42%,40%,36%,40%,24%,15%,56%,29%,7%,8,2.9,2.7,1.2,1.1,0.1,89.7,13.2,,28%,,13%,,,20%,0.27560796,6%,,,4%,,,,94.7,,91.4,,,95.4,87.4,78.2,,,87.8,,,4.18,,-0.47,,,7.64,-1.68,-5.47,,,7.20,,,9.61,,5.82,,,8.21,0.73,-9.86,,,6.35,,,-1.08,,-3.15,,,-2.11,7.09,-0.29,,,1.52,,
Taj Bradley,TBR,2024,23,8,11,138,1.5,4.11,4.11,4.09,3.62,0.231,1.22,0.284,27%,8%,74%,18%,42%,40%,39%,36%,25%,10%,50%,39%,10%,10,3.1,3.3,1.4,1.1,0.2,91.2,13.3,,42%,,22%,27%,,,,9%,,,,,,,96.4,,90.9,90.9,,,,79.1,,,,,,-3.77,,1.95,-6.57,,,,3.50,,,,,,11.00,,3.94,3.55,,,,-10.06,,,,,,-0.42,,5.25,2.91,,,,-3.08,,,,,
Ryan Weathers,MIA,2024,24,5,6,86.2,1.1,3.63,4.11,4.11,4.03,0.234,1.18,0.276,22%,7%,75%,18%,47%,36%,41%,32%,26%,19%,51%,30%,8%,8.3,2.5,3.3,1.1,1.3,0.1,89.5,10.4,,40%,,,,,12%,0.22222222,,,,26%,,,,95.9,,,,,94.5,82.9,,,,86.4,,,7.98,,,,,10.75,-5.61,,,,8.37,,,8.88,,,,,6.04,0.61,,,,2.35,,,-4.53,,,,,0.21,1.55,,,,5.09,,
Matt Waldron,SDP,2024,27,7,11,146.2,1.8,4.91,4.11,4.26,4.32,0.253,1.26,0.295,21%,6%,67%,18%,39%,43%,40%,39%,21%,16%,53%,30%,7%,8.2,2.5,3.3,1.3,0.9,0.1,88.1,16.4,,19%,,9%,,,14%,0.19836735,,,,,,38%,,90.6,,87.0,,,90.0,79.3,,,,,,77.58919958,-5.64,,-0.07,,,-9.46,7.09,,,,,,-3.580514763,8.15,,5.34,,,4.70,2.52,,,,,,-2.15,-3.59,,3.96,,,2.26,2.42,,,,,,-10.16
Mitch Spence,OAK,2024,26,8,10,151.1,1.2,4.58,4.11,4.21,4.12,0.275,1.38,0.319,19%,7%,73%,17%,48%,34%,47%,35%,18%,14%,55%,31%,8%,7.5,2.6,2.9,1.2,1.4,0.1,89.5,9.5,,,,40%,,,15%,0.32648126,12%,,,1%,,,,,,90.7,,,91.9,84.3,80.4,,,88.4,,,,,1.36,,,-5.38,7.39,5.74,,,-5.85,,,,,3.53,,,3.32,-0.07,-7.19,,,2.42,,,,,-4.01,,,-5.10,0.07,-2.46,,,-2.13,,
Albert Suárez,BAL,2024,34,9,7,133.2,1.4,3.7,4.14,4.24,4.53,0.25,1.29,0.287,19%,8%,79%,24%,34%,43%,43%,33%,24%,14%,56%,30%,7%,7.3,2.9,2.5,1.1,0.8,0.1,88.8,17,,50%,,20%,,,,,13%,,,17%,,,,94.8,,86.3,,,,,79.0,,,86.1,,,-4.48,,0.90,,,,,2.85,,,-9.71,,,9.62,,4.81,,,,,-3.79,,,4.81,,,-3.98,,3.19,,,,,1.21,,,-1.92,,
Buck Farmer,CIN,2024,33,3,2,71,0.6,3.04,4.14,4,4.44,0.213,1.2,0.263,23%,10%,82%,22%,36%,43%,43%,34%,23%,19%,53%,28%,8%,8.9,3.7,2.4,0.9,0.8,0.1,88.3,18.1,,20%,,,,,24%,0.34786325,,,,21%,,,,92.7,,,,,92.5,82.2,,,,86.8,,,-7.00,,,,,-10.22,4.88,,,,-8.84,,,8.16,,,,,4.24,2.35,,,,0.00,,,0.42,,,,,2.75,5.54,,,,-1.49,,
Carlos Rodón,NYY,2024,31,16,9,175,1.7,3.96,4.14,4.39,4.09,0.235,1.22,0.284,26%,8%,79%,17%,34%,49%,40%,34%,26%,14%,53%,33%,11%,10,2.9,3.4,1.6,0.7,0.1,90.4,18.1,,49%,,4%,,,,0.25950999,8%,,,13%,,,,95.4,,91.8,,,,86.8,81.0,,,85.5,,,5.62,,0.56,,,,-2.97,-3.02,,,7.63,,,10.60,,6.52,,,,-0.24,-5.72,,,2.18,,,0.78,,-3.39,,,,-3.25,-3.40,,,5.75,,
Caleb Ferguson,HOU,2024,27,1,4,54.1,0.3,4.64,4.14,3.74,3.55,0.255,1.49,0.34,27%,10%,67%,24%,47%,30%,33%,41%,25%,18%,54%,28%,7%,11.1,4.1,2.7,1,1.6,0.1,88.2,9.9,,43%,,26%,,,10%,0.00212993,20%,,,,,,,93.8,,89.0,,,94.0,79.1,81.1,,,,,,5.65,,-0.45,,,9.66,-10.41,-4.32,,,,,,8.92,,3.89,,,5.74,-4.43,-5.43,,,,,,-6.56,,5.22,,,-0.62,-0.06,0.26,,,,,
Reid Detmers,LAA,2024,24,4,9,87.1,0.7,6.7,4.14,4.72,3.86,0.279,1.56,0.357,28%,10%,63%,18%,38%,44%,48%,27%,25%,13%,50%,36%,11%,11.2,3.9,2.9,1.9,0.9,0.2,89.9,16.2,,47%,,,,,,0.24438743,15%,,,14%,,,,93.8,,,,,,86.2,75.0,,,84.7,,,5.47,,,,,,-0.62,-4.90,,,6.86,,,10.33,,,,,,0.65,-8.47,,,6.84,,,-4.05,,,,,,-1.66,-7.94,,,-2.62,,
